date,item,category,cost,shop
-18+01,Attractions,Tenerife,5171,Tenerife
-18+03,Travel money,中国 2018,12484,Eurochange
-18+05,Post Card,Scotland 2020,171,Various
-18+05,Food,Tenerife,570,Tenerife
-18+11,Airbnb in Hong Kong,中国 2 2018,6255,Airbnb
-17+01,Dorset tickets,Dorset,6165,gwr.com
-17+03,Ticket from Weymouth,Dorset,1400,gwr.com
-17+05,Norwegian Kroner,Norway,30763,travelfx
-17+05,Taxi home,Glasgow,1230,Temple Meads
-17+11,Ticket from Milan,Italy,2642,ryanair.com
-17+15,Taxi to Bergen,Norway,4946,Taxi
-16+01,€65,Italy,5177,Eurochange
-16+03,Owe to Friend,Prague,3000,N/A
-16+05,Food,Tenerife,945,Tenerife
-16+05,Flights to Bergen,Norway,13196,wizzair.com
-15+01,Hotel in Norway,Norway,23701,Airbnb
-15+03,Attractions,Tenerife,3989,Tenerife
-15+05,Ticket to Bristol Airport,Glasgow,2600,Bristol bus station
-15+05,Shopping,Tenerife,100,Tenerife
-15+09,Visa fees,中国,15100,Visa centre
-14+01,Bergen maritime museum,Norway,1658,Museum
-14+03,Hostel in Inverness,Orkney,3450,booking.com
-14+05,Thai restaurant,Norway,4478,Hajos
-14+05,Flights,中国 2020,95232,Skyscanner
-14+09,Aquarium,Scotland 2020,2944,Deep Sea World
-13+19,Visa fees,Norway,316,Application Portal Norway
-13+25,Tumble drier,Orkney,100,Campsite
-13+28,¥9000,中国 2,100132,eurochange.com
-12+03,Travel insurance,Norway,1847,AXA
-12+07,Bus,Tenerife,702,Tenerife
-12+14,Travel insurance,中国 2018,979,moneysupermarket.com
-12+14,China flight refund,中国 2020,-95232,Travel trolley
-11+09,Flight seat,中国,1480,Paypal
-11+19,Eating out,Tenerife,2327,Tenerife
-11+19,Maps and stuff,Tenerife,3296,Stanfords
-11+20,Transport,Norway,4031,Various
-11+23,Food,Tenerife,443,Tenerife
-10+01,Eating out,Tenerife,2161,Tenerife
-10+01,Glen Nevis Campsite,Scotland 2020,13100,Glen Nevis
-10+03,Eating out,Tenerife,340,Tenerife
-10+04,Train from Bristol to London,Orkney,3040,gwr.com
-10+17,Campsite,Orkney,8540,orkney.campstead.com
-10+17,Restaurant,Glasgow,2090,Viva
-10+24,Airbnb in Glasgow,Glasgow,9123,Airbnb
-09+20,Eating out,Tenerife,2593,Tenerife
-09+20,Return from Inverness to Orkney,Orkney,10000,jogferry.co.uk
-09+20,Bus,Tenerife,2474,Tenerife
-09+21,Uber to Glasgow Airport,Glasgow,1680,Uber
-09+23,Food,Tenerife,1242,Tenerife
-08+14,Bike hire,Orkney,2500,Stromness bike hire
-08+16,Food,Tenerife,398,Tenerife
-08+16,Shopping,Tenerife,2807,Tenerife
-07+09,Ticket to Bristol,中国 2018,3915,Heathrow
-07+23,Inverness campsite,Orkney,2000,Inverness campsite
-07+23,Ticket to Visa centre,中国,2720,gwr.com
-07+27,Flights to Shanghai,中国 2,47000,klm.com
-06+04,¥1300 buy-back,中国 2,-13500,RBS
-06+04,Food,Tenerife,1572,Tenerife
-06+07,Hold luggage,Orkney,1400,easyjet.com
-05+13,HKD spending,中国 2 2018,17530,Various
-05+14,Ticket FTW<->Mallaig (cancelled),Scotland 2020,75,thetrainline.com
-05+14,Food,Tenerife,1406,Tenerife
-05+17,Ticket from Inverness to Bristol,Orkney,4598,easyjet.com
-05+20,Buses,Orkney,1280,Bus
-04+04,€150,Germany,11300,Eurochange
-04+04,Bus to Luton airport,Norway,1500,nationalexpress.com
-04+07,Crab / lobster,Norway,28493,Bergen fish market
-04+07,Attractions,Tenerife,2955,Tenerife
-04+17,Food,Tenerife,229,Tenerife
-04+19,Bus,Tenerife,1832,Tenerife
-04+19,Train FTW->London,Scotland 2020,16070,Trainline
-03+02,Tickets to Milan,Italy,9948,easyjet.com
-03+03,Train to Mallaig,Scotland 2020,2020,Fort William
-03+03,Flights to Shanghai,中国,38271,omegaflightstore.com
-03+04,Travel insurance,中国,1360,Virgin money
-03+15,Eating out,Tenerife,2025,Tenerife
-03+20,Visa fees,中国 2018,15100,Visa centre
-03+20,Eating out,Tenerife,1847,Tenerife
-02+01,Attractions,Tenerife,997,Tenerife
-02+01,Bus,Tenerife,687,Tenerife
-02+01,Tickets to Germany,Germany,23200,Eurostar
-02+01,Ticket to Visa centre,中国 2018,3925,gwr.com
-02+01,Eating out,Tenerife,1957,Tenerife
-02+01,Attractions,Tenerife,6648,Tenerife
-02+01,Flights to Shanghai / Hong Kong,中国 2 2018,127530,Jetabroad.com
-02+01,Showers,Orkney,100,Campsite
-02+01,Attractions,Tenerife,739,Tenerife
-02+01,Supermarket food,Scotland 2020,7012,Various
-02+03,Bus to free campsite,Scotland 2020,2320,citylink
-02+05,Visa fees,Norway,3990,VF Service
-02+05,Restaurants,Scotland 2020,13272,Various
-02+13,Stromness Museum,Orkney,1000,Stromness museum
-02+13,Phrasebook,Tenerife,499,Amazon
-01+18,Eating out,Tenerife,554,Tenerife
-01+20,Map,Dorset,899,Stanfords
-01+20,Hotel in Edinburgh,Scotland 2020,9000,booking.com
+00+01,Skara Brae,Orkney,1500,
+00+02,Bus,Tenerife,1588,Tenerife
+00+02,Seafood lunch,Scotland 2020,2000,Mallaig restaurant
+00+03,Ticket to Visa centre,中国,5095,gwr.com
